dataset,planning_seed,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,w
3,44,online_static_3step,dynamic_3step,0.17513703655628302,0.09705377962736739,0.1754554588655195,8332.0,76.65466926070039,10.591064185926736,0.986954480273093,0.9055807818322179,5612.0,4259.0,518.4244606201537,452.74825287773274,351cb2554f5e89c3f1a6b1a3b921b60e1688240503236848ab0bc5c9ea628dae,44,0.5
3,45,online_static_3step,dynamic_3step,0.15403529603533303,0.07286547831415677,0.1542831709936266,8342.0,50.50633322507308,11.26368295182781,0.980200502864786,0.9112190919900026,5018.0,3885.0,480.0388728152029,421.5469995746389,910e0ca2c86a2a47bedd9112f87bcc58f08489b378793c46b82c663831053eb5,45,0.5
3,46,online_static_3step,dynamic_3step,0.1449677862891925,0.07212113095059965,0.14530789536899452,8339.0,54.119777158774376,11.021743493677661,0.981522466416182,0.9092702528802613,5206.0,4478.0,496.2212015672121,481.5042345938273,e6b98d203c415f1a8c34b2b75a7e204e2d3e4b39022e095555c1486ea3c1d277,46,0.5
3,47,online_static_3step,dynamic_3step,0.08353199990601004,0.03024264771932886,0.0836774278721342,8345.0,21.289017341040463,10.79651809673408,0.9530274232962259,0.907377546071775,5500.0,4490.0,535.8942626772914,479.58866276871413,dd3015a867cfc996eabb6fc00f5a1173d0286567e2c9082ab2bd0f83d5aa65a3,47,0.5
3,48,online_static_3step,dynamic_3step,0.1685970832982603,0.07538165001404605,0.16884074090046838,8338.0,48.82037617554859,11.507824507475199,0.9795167493916025,0.9131026025509492,3947.0,3854.0,379.14519764017314,413.78215452632867,aaec7a1c34c54a1bd039a1b8c18a5480353cfb7128f567430addb23f51f49801,48,0.5
3,49,online_static_3step,dynamic_3step,0.11310868581655972,0.04506558981265761,0.11331113874967139,8342.0,25.37805652588123,11.932826637712632,0.9605958793976137,0.9161975590226384,4837.0,4513.0,473.95526649430394,496.79679168760777,650bb640d69c5e47dcd172790ed6271ade9dfaec816e703b4a3b9ca43387318b,49,0.5
3,50,online_static_3step,dynamic_3step,0.18260203391654095,0.0973659081886884,0.18295389147301389,8335.0,72.55529522024368,10.568631227529533,0.9862174084336026,0.9053803677627462,5115.0,4478.0,484.00492344168015,482.6984308005776,d620740098c790fc78b4cb8f00f8ec0164078ac4feaddb4fe434d42b87e1dc1b,50,0.5
3,51,online_static_3step,dynamic_3step,0.1047782186032307,0.05386782736614464,0.10501866259878237,8329.0,30.926525775232076,10.588292117465224,0.9676652978330704,0.9055560624030654,4584.0,3853.0,444.0480830036104,422.8241267062258,66afefe803e1184e4b350ee305372fb8b28c8ad5acae401c4045a26a80212f03,51,0.5
4,42,online_static_3step,dynamic_3step,0.027349871725274588,0.0028575312132360026,0.027362366327114918,8499.0,13.30215374941047,11.483851268828877,0.9248242037463806,0.9129211989435684,4056.0,4090.0,405.7055661061313,449.97795557253994,e498e96b657afb256b2918c44380f7421f2918a14b059ff7d8591b56c2a7d59e,42,0.5
4,43,online_static_3step,dynamic_3step,0.06640113333744135,0.040041558024676724,0.06641478321738484,8559.0,21.17952853598015,13.12644301541799,0.9527845958279391,0.9238178995767989,4034.0,4065.0,389.65404263767414,437.7645768437069,06e33eab45f5ec3553180be796337fcdf0dd1f787782f856cebb6255f584c18d,43,0.5
4,44,online_static_3step,dynamic_3step,0.0883444498060833,0.03469119451561462,0.08846023805616449,8492.0,24.984190307328607,12.691296838627318,0.9599746884850349,0.9212058458079404,4092.0,4057.0,403.0779402924236,441.79712907318026,12446b23479058cee913864dc4421ab4fa14764cf1988ed1c3a55e0d83d9031c,44,0.5
4,45,online_static_3step,dynamic_3step,0.02361407039672825,0.0013819458020464066,0.02364090480568881,8506.0,14.274606132475013,11.378699416146567,0.9299455276930563,0.9121164938603631,4109.0,4014.0,412.7596623690333,441.5616143613588,1c0559b8be6391e094d7b2c47bd536b82d581afc126f163e1a71db87212b3092,45,0.5
4,46,online_static_3step,dynamic_3step,0.017081963538915335,-0.0024990863294229,0.01711554694048456,8534.0,13.28031545248692,11.695877714759995,0.9247005838394647,0.9144997900638088,4073.0,4002.0,407.2058432751801,429.31653918884695,8a9b527e4b246b75a30334ce72e2bdbdfdf449c2051505e1daa58cd0aae3005e,46,0.5
4,47,online_static_3step,dynamic_3step,0.03553552673558266,0.006656805337245156,0.03553783217081219,8498.0,14.779406631762653,11.268805014670578,0.9323382849585528,0.911259445992887,3906.0,3980.0,392.34215286234394,429.40069748694077,2debedf1b10eb820ab15a9015a7e2e5dd7866ce1f7af039aa5580e53d638af84,47,0.5
4,48,online_static_3step,dynamic_3step,0.018960172728010427,0.0031382330553411946,0.018933264957561785,8527.0,14.529633759327558,12.17230262215217,0.9311751406426172,0.9178462751837835,3803.0,3977.0,383.8719407506287,436.1227018642239,ba002e38c24f199a8f6e5434dbfdf2107bd0f19251c779322e86fa423167fc88,48,0.5
