dataset,planning_seed,method,P_detect_Tref,P_detect_k0_Tref,retention_Tref,RMST_Tref,RMST_k0_Tref,NRMST_Tref,degradation_RMST_Tref,retention_budget
11,44,dynamic_evidence_3step,0.2998685124456789,0.3197245035448882,0.9378965613237036,6503.770737580212,6458.759470957272,0.8128697334808413,0.005625705114728125,1.0018597467477786
11,45,dynamic_evidence_3step,0.2954207055761779,0.3166128780161217,0.933065980851023,6528.486365865956,6484.6816507426365,0.8159588008831341,0.0054749050272865285,0.9982293846629756
11,46,dynamic_evidence_3step,0.2667925248874236,0.2861687826653318,0.9322908054559944,6629.763538520281,6588.563857626913,0.8286168652068843,0.0051493164471151315,1.0131323469652376
11,47,dynamic_evidence_3step,0.3011228444298659,0.3171879309667508,0.9493515201290276,6490.102455966461,6451.174880590858,0.8111614118193302,0.004865338754606028,1.0242540638593138
11,48,dynamic_evidence_3step,0.2798377121795922,0.2971746990778707,0.9416606226839803,6559.756485715798,6529.861920103802,0.8198670773298085,0.003736353657292321,0.9895156517613898
11,49,dynamic_evidence_3step,0.2960053421995172,0.3172054586695964,0.9331659784198059,6492.923646053045,6452.598278595275,0.8115140165045676,0.005040040927105359,0.9691591894602294
11,50,dynamic_evidence_3step,0.296706057766847,0.3180715186800926,0.9328281230526195,6493.427251841917,6448.285586748811,0.8115769593603195,0.005642002886277463,0.9822415710282164
11,51,dynamic_evidence_3step,0.2869752816783065,0.3052578978583269,0.9401076391199367,6528.41326051082,6487.529432172805,0.8159496638558705,0.005109839812275292,1.0001128547800302
12,42,dynamic_evidence_3step,0.2944533836292355,0.2956756586156956,0.9958661629699834,6503.575030519917,6500.381485551785,0.8128452731558452,0.00039914322811302345,1.0726059086553177
12,43,dynamic_evidence_3step,0.3128793143972627,0.3099566928568389,1.0094291286743522,6421.588281473818,6407.075536293527,0.8025982104079262,0.0018138664142345893,1.0986438662796738
12,44,dynamic_evidence_3step,0.304908358461763,0.3236884906354245,0.9419808466566275,6509.551339482075,6464.302051996731,0.8135922184079584,0.005655454003917423,0.9985572678414566
12,45,dynamic_evidence_3step,0.2802967888558981,0.3108534647552012,0.9017007067192683,6506.39155436628,6444.544526579792,0.8131972946339557,0.007729912234281724,0.9466020858168168
12,46,dynamic_evidence_3step,0.2958449330912855,0.3158536317293305,0.9366519912134764,6444.454988586016,6398.369884050596,0.8054561915493084,0.005759918077167881,0.9581054548036704
12,47,dynamic_evidence_3step,0.3145273604469676,0.3367400773847924,0.9340360164126162,6402.72991654497,6355.5141033445125,0.8002412094169442,0.005901238995182838,0.9840827035369824
12,48,dynamic_evidence_3step,0.309775498268106,0.3362091455168893,0.9213773700053755,6424.189516628014,6371.075922002335,0.8029233241629813,0.0066383695320183815,0.9885576419680808
12,49,dynamic_evidence_3step,0.2772463801900313,0.28120587356636,0.9859195921973004,6526.096964302305,6516.197568179181,0.815660163017411,0.0012372698566584753,1.0549861889918823
12,50,dynamic_evidence_3step,0.2973544059954471,0.3210786334978084,0.9261108494080992,6463.627875336335,6412.157012713297,0.8078525028541851,0.0064330536961676845,0.9702408114248262
12,51,dynamic_evidence_3step,0.3121183759889478,0.334075945973976,0.9342737175494262,6442.10092185001,6402.306279252925,0.8051619699850031,0.004973708611059234,0.975405275067686
13,42,dynamic_evidence_3step,0.3500029226982667,0.3412711345412996,1.0255860729876949,6297.532172307464,6297.329726842029,0.787093134896571,2.5302520364294585e-05,1.089533859428451
13,43,dynamic_evidence_3step,0.3322031025411432,0.3544490980364954,0.937237827325317,6355.138898741529,6306.522893138878,0.7942930757082276,0.006076241170185109,1.0033541793705851
13,44,dynamic_evidence_3step,0.3305863036415905,0.3610965621073046,0.9155066492805666,6316.203868008689,6267.642415167015,0.7894268051504423,0.006069422927343282,0.9404357805097692
13,45,dynamic_evidence_3step,0.3502631526669192,0.3727650435410825,0.9396351904126886,6320.746687032774,6274.761362901762,0.7899945865557774,0.005747447085490816,0.9992483862259232
13,46,dynamic_evidence_3step,0.3498104870569533,0.3762606355294408,0.9297025891765978,6319.790809816112,6270.309809168794,0.7898751168374094,0.006184352036910145,0.9888438714347044
13,47,dynamic_evidence_3step,0.3403160338486103,0.3612376108556243,0.9420836137259925,6321.912962268655,6272.242941822148,0.7901403527394895,0.006207976558743519,0.9988144209393988
13,48,dynamic_evidence_3step,0.334829173283351,0.3603148127950415,0.9292684102715822,6331.563578789787,6276.821123961669,0.7913465290325943,0.006841951609563535,0.9808671978769552
