dataset,planning_seed,dPdet,dRMST_rel,dretention,dL,dPostFaultGain,deadhead_total,deadhead_fraction_remaining_budget,assignment_cost,route_length_after_replan,task_splits,empty_sectors,prefix_removed_total,suffix_removed_total,search_inactive_count,remaining_budget_at_failure,postfault_eff_replan,postfault_eff_fixed,postfault_mass_replan,postfault_mass_fixed,postfault_dist_replan,postfault_dist_fixed,termination,budget_utilization,unused_budget
6,45,-0.022190753995824986,-0.00957781380337131,-0.08310507211644502,-0.022270966692853972,-0.02219075399582511,2596.7964630017536,0.025968498361737667,2596.7964630017536,4618014.771734189,0,0,6994,0,0,99997.94469548184,7.725250055525957e-07,9.952609874858137e-07,0.07725598152588281,0.09952694821873678,100004.50596498264,100000.85351497355,budget_exhausted,1.0000328063474953,-6.561269499070477
6,46,-0.044410015285964805,-0.016813689678984313,-0.16628360393631458,-0.044564964214373115,-0.044410015285964895,2917.2091479257556,0.029179262483975277,2917.2091479257556,4639988.510455664,0,0,4898,0,0,99975.42431128387,5.493333719103896e-07,9.95072682049875e-07,0.054922966601310796,0.0994879308156838,99981.121500607,99980.56685742406,budget_exhausted,1.0000284859466169,-5.697189323371276
6,47,-0.06437521363200421,-0.024193850281123586,-0.2410952157302385,-0.06456071664584018,-0.0643752136320042,3485.004786757485,0.0348508596755699,3485.004786757485,4660099.093962155,0,0,2986,0,0,99997.67062275475,3.359789237872054e-07,9.815930502129981e-07,0.033603584441043804,0.09816430108688429,100016.94172437694,100005.08975240136,budget_exhausted,1.00009635550812,-19.27110162403551
6,48,-0.06507472640264653,-0.02457419702651556,-0.24374858333296479,-0.06527146245380047,-0.0650747264026464,3065.183241031578,0.030652536680661004,3065.183241031578,4660068.870511854,0,0,2989,0,0,99997.70240762595,3.422315109126822e-07,9.949322572858734e-07,0.034226536393639706,0.09949799884744048,100009.89184883196,100004.79743099913,budget_exhausted,1.0000609472060225,-12.189441204478499
6,49,-0.042939969655635096,-0.01675323053482451,-0.16077006317863884,-0.04308648071635568,-0.042939969655635096,1940.023344522915,0.019400826718074717,1940.023344522915,4639490.135635812,0,0,4947,0,0,99996.94202286228,5.563897033637303e-07,9.871773363977734e-07,0.05563765671081211,0.09872413742716801,99997.63901892328,100006.48696759393,budget_exhausted,1.000003484980297,-0.6969960594142321
6,50,-0.06535534481605149,-0.025156952513510317,-0.24483206272772118,-0.06554779407528022,-0.0653553448160514,4691.380246260971,0.04692399650187126,4691.380246260971,4660099.093962154,0,0,2986,0,0,99978.2754240442,3.282199197631304e-07,9.838492649266985e-07,0.03282026477656988,0.0983680588518504,99994.73767544515,99982.85546229412,budget_exhausted,1.000082311257003,-16.462251400545938
6,51,-0.021347025525279506,-0.009282093841039694,-0.0799362201724736,-0.0214393061751586,-0.021347025525279506,2974.860475285016,0.02975483991908991,2974.860475285016,4618004.6972507555,0,0,6995,0,0,99979.04486713186,7.672800670946702e-07,9.81634951119268e-07,0.07671758954356311,0.09815689571872172,99986.42325488351,99993.27714116377,budget_exhausted,1.00003689193875,-7.378387750010006
7,42,-0.04720705609087811,-0.020199027100542142,-0.1816659314027511,-0.04742292026375533,-0.04720705609087811,3856.21606038984,0.03856975787840669,3856.21606038984,4645108.718364915,0,0,4379,0,0,99980.3025092036,5.006546975218276e-07,9.749803287069942e-07,0.05006113212312471,0.09748405238687999,99991.33608636948,99985.66075293234,budget_exhausted,1.0000551678858352,-11.03357716705068
7,43,-0.04557901639102313,-0.019883556521632827,-0.1753301143949647,-0.045792884201531714,-0.0455790163910231,2953.5537796890485,0.029541250407633682,2953.5537796890485,4644272.536239936,0,0,4462,0,0,99980.66225814963,5.160697379380636e-07,9.740962376242069e-07,0.0516055903563066,0.09739847455783832,99997.31928187596,99988.5543089566,budget_exhausted,1.0000832851186376,-16.65702372751548
7,44,-0.06389587144741601,-0.02701745274977731,-0.24587270361666347,-0.06417062823967662,-0.06389587144741601,4145.3365870789,0.0414586762944381,4145.3365870789,4660856.610456876,0,0,2869,0,0,99987.191043893,3.4128261695690917e-07,9.829212551820349e-07,0.0341242299926246,0.0982948582323018,99988.18661465308,100002.78019636254,budget_exhausted,1.000004977853817,-0.9955707633926068
7,45,-0.030695155997870927,-0.014525604723791849,-0.11812993310803854,-0.030887675831618666,-0.030695155997870996,3406.960556037647,0.034076519678373066,3406.960556037647,4628041.068943162,0,0,6020,0,0,99979.71002302508,6.656756817787452e-07,9.745601937960247e-07,0.06655436908858872,0.09744204492020739,99980.17189203828,99985.66075293857,budget_exhausted,1.0000023093450692,-0.46186901384498924
