dataset,planning_seed,k,comparator,dRetention_Pdet_Dyn_OS,dDegradation_NRMST_Dyn_OS,dPdet,dRMST_rel,dRetention_Pdet_Dyn_Pizza,dDegradation_NRMST_Dyn_Pizza
5,50,1,pizza_repartition,,,-0.0021341423892443367,-0.0019034558064584008,0.04120037709097901,0.003282561807783857
5,50,2,pizza_repartition,,,-0.0043147981105691735,-0.0028435554721255776,0.024535016626484607,0.0023424621421166414
5,50,3,pizza_repartition,,,0.0008745646511230387,-0.0011476812260135256,0.0344445473885987,0.004038336388228814
5,51,1,pizza_repartition,,,-0.00437283076220607,0.00046785048126416786,-0.032045387563273464,0.002411042881089509
5,51,2,pizza_repartition,,,0.006934815503935349,0.0011889545427937345,0.01032975213182663,0.003132146942619096
5,51,3,pizza_repartition,,,-0.004196819470395796,-0.003572711145576509,-0.025273929695794672,-0.001629518745751235
10,42,1,pizza_repartition,,,0.06136850854282064,0.047377695934019984,0.06156269627900823,0.006651957215079829
10,42,2,pizza_repartition,,,0.07644858364581267,0.03792760337603512,0.14394240622297572,-0.0027981353429049616
10,42,3,pizza_repartition,,,0.04869334700181194,0.03811151624554469,0.05829060050060397,-0.002614222473395378
10,43,1,pizza_repartition,,,0.044027261363945774,0.040351746034316294,-0.16394492424555573,-0.02253837731314101
10,43,2,pizza_repartition,,,0.06307437251131648,0.042520893367496045,-0.06177053205649896,-0.020369229979961267
10,43,3,pizza_repartition,,,0.04668854511536577,0.03443338494892555,-0.07616976947414722,-0.0284567383985318
10,44,1,pizza_repartition,,,0.085395699179909,0.05911416285439318,-0.03629828271111801,-0.010796739292225133
10,44,2,pizza_repartition,,,0.06848742593940682,0.04572260923592081,-0.047534348629138856,-0.024188292910697573
10,44,3,pizza_repartition,,,0.04590672526396153,0.03417905921584673,-0.08142852190057559,-0.035731842930771585
10,45,1,pizza_repartition,,,0.07500248786610653,0.052970464889813,-0.018294543268079444,-0.0050701567876321185
10,45,2,pizza_repartition,,,0.08140955150301665,0.04697836613461996,0.04038850307881936,-0.011062255542825139
10,45,3,pizza_repartition,,,0.048629143610386893,0.03464205053025516,-0.036518026510531154,-0.023398571147189906
10,46,1,pizza_repartition,,,0.05103468832079011,0.04528487096752661,-0.023681196502412072,-0.0025586169215447985
10,46,2,pizza_repartition,,,0.05887448544296153,0.04395430346013096,0.03398615137548522,-0.003889184428940373
10,46,3,pizza_repartition,,,0.046416880471989164,0.03454409903606709,0.014223465930759738,-0.013299388853004301
10,47,1,pizza_repartition,,,0.07527869238605867,0.04803975480469431,-0.0019356454157700709,-0.005547165803733378
10,47,2,pizza_repartition,,,0.0647901542659903,0.044849427875100954,-0.002423289123300032,-0.008737492733326802
10,47,3,pizza_repartition,,,0.046428972084728126,0.03446219673588818,-0.03323857050887469,-0.019124723872539606
10,48,1,pizza_repartition,,,0.08702973075150594,0.055337033660184644,0.17832356197446575,0.014941312143457175
10,48,2,pizza_repartition,,,0.05578731710157164,0.03772463127076899,0.07783890114740799,-0.002671090245958463
10,48,3,pizza_repartition,,,0.048500668761925964,0.03398405853642681,0.06942649655489497,-0.006411662980300603
10,49,1,pizza_repartition,,,0.048302122417585164,0.03993859760934704,-0.1063843117866976,-0.016913844602574724
10,49,2,pizza_repartition,,,0.08309369900480151,0.052970661445112636,0.04738464017210264,-0.0038817807668091175
10,49,3,pizza_repartition,,,0.05968038296772529,0.03869617426832018,0.001806923905850688,-0.01815626794360159
10,50,1,pizza_repartition,,,0.07843033667653368,0.05148443350750948,0.015145371469610702,-0.005819965157943918
10,50,2,pizza_repartition,,,0.060374176269932966,0.044414574752900705,-0.011996741206345751,-0.012889823912552667
10,50,3,pizza_repartition,,,0.0464276384532093,0.0344226196313462,-0.028692004185618347,-0.022881779034107153
10,51,1,pizza_repartition,,,0.07131219776241543,0.05029234635850537,0.007429127658852397,0.0008297600657630744
10,51,2,pizza_repartition,,,0.06522413512741412,0.04543803557974236,0.019199921668104136,-0.004024550713000008
10,51,3,pizza_repartition,,,0.04600042545023211,0.03450017647322264,-0.018136293806458426,-0.014962409819519684
