dataset,planning_seed,k,planning_mode,P_detect,RMST,NRMST,retention_Pdet,retention_invalid_reason,degradation_NRMST,T,H,T_common,H_common,budget_total,actual_distance_total,budget_utilization,termination_reason,active_fleet,failed_drone_ids,pizza_assignment_hash
1,49,3,online_static_3step,0.08104366400640242,8229.28983285329,0.9296531668383744,0.33796669850725386,none,0.08891428454348083,8797,8798,8851,8852,80000.0,80006.48721394503,1.000081090174313,budget_exhausted,2,"[3,1,0]",none
1,49,3,pizza_repartition,0.17217762147201654,7943.028243641102,0.8973145327204136,0.5351599677186994,none,0.0951429578563534,8007,8008,8851,8852,80000.0,80004.27092172772,1.0000533865215964,budget_exhausted,2,"[3,1,0]",666aa16649c90e48e640c78dd66fabcbd5ca468c4c0fde73182f11e86310ebf9
1,42,0,dynamic_evidence_3step,0.34411087144843133,6867.820681143963,0.7777826365961453,1.0,none,0.0,8494,8495,8829,8830,200000.0,200001.37783143646,1.0000068891571823,budget_exhausted,5,[],none
1,42,0,online_static_3step,0.2291726864278829,7387.797724276617,0.8366701839497868,1.0,none,0.0,8675,8676,8829,8830,200000.0,200000.2863851179,1.0000014319255897,budget_exhausted,5,[],none
1,42,0,pizza_repartition,0.32169882492300206,7086.911481451369,0.8025947317611969,1.0,none,0.0,8012,8013,8829,8830,200000.0,200023.0299151484,1.0001151495757419,budget_exhausted,5,[],3fb6519a682d431ecc9126ea258709ae7e02f59f156db5049ee8fd2f1a5c8933
1,42,1,dynamic_evidence_3step,0.3000533478404498,7284.875721688594,0.8250142380168284,0.8719670685714327,none,0.047231601420683056,8502,8503,8829,8830,160000.0,160012.8813804455,1.0000805086277844,budget_exhausted,4,[1],none
1,42,1,online_static_3step,0.24313974621003948,7417.601246633386,0.8400454412948342,1.060945569037311,none,0.0033752573450474,8829,8830,8829,8830,160000.0,160010.11666412448,1.000063229150778,budget_exhausted,4,[1],none
1,42,1,pizza_repartition,0.2779626478696704,7337.586569199232,0.8309837564212041,0.8640462020220315,none,0.028389024660007256,8011,8012,8829,8830,160000.0,160014.99134282646,1.0000936958926654,budget_exhausted,4,[1],07a995aab00c9aaf27cabba996185642bffbd664b9e626a808814310ce7a445c
1,42,2,dynamic_evidence_3step,0.2541751122498585,7435.201573687045,0.8420386833167661,0.738643075064687,none,0.0642560467206208,8506,8507,8829,8830,120000.0,120002.08346183451,1.0000173621819544,budget_exhausted,3,"[1,4]",none
1,42,2,online_static_3step,0.18385673071079328,7704.451595296022,0.8725313244955857,0.8022628419493182,none,0.03586114054579892,8544,8545,8829,8830,120000.0,120001.5452271751,1.0000128768931258,budget_exhausted,3,"[1,4]",none
