dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,alpha,w
7,46,alpha_0,online_static_3step,dynamic_3step,0.10583680231203658,0.03768748338484084,0.1059966732673705,8253.0,24.00946420393833,9.629105188005711,0.9583497577661076,0.8961481902549338,5282.0,4696.0,503.6486027617939,487.4133548035752,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,0.0,0.5
7,46,alpha_0.25,online_static_3step,dynamic_3step,0.08686253248286394,0.03125060293806126,0.1059966732673705,8253.0,24.00946420393833,9.629105188005711,0.9583497577661076,0.8961481902549338,5282.0,4696.0,503.6486027617939,487.4133548035752,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,0.25,0.5
7,46,alpha_0.5,online_static_3step,dynamic_3step,0.06788826265369126,0.02481372249127452,0.1059966732673705,8253.0,24.00946420393833,9.629105188005711,0.9583497577661076,0.8961481902549338,5282.0,4696.0,503.6486027617939,487.4133548035752,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,0.5,0.5
7,46,alpha_0.75,online_static_3step,dynamic_3step,0.04891399282451855,0.018376842044484473,0.1059966732673705,8253.0,24.00946420393833,9.629105188005711,0.9583497577661076,0.8961481902549338,5282.0,4696.0,503.6486027617939,487.4133548035752,72b2a4b6cfa190859e858989a9c94ff8592eebd82cfee1e5bcbe8e4fddf368a3,46,0.75,0.5
7,47,alpha_0,online_static_3step,dynamic_3step,0.08293279129350717,0.03553451022676458,0.08307058039799396,8267.0,24.276194852941178,9.84533268635895,0.9588073828679603,0.8984290290783638,5411.0,4692.0,525.6058614959475,482.88300394592807,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,0.0,0.5
7,47,alpha_0.25,online_static_3step,dynamic_3step,0.06946623733711305,0.02923134792700124,0.08307058039799396,8267.0,24.276194852941178,9.84533268635895,0.9588073828679603,0.8984290290783638,5411.0,4692.0,525.6058614959475,482.88300394592807,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,0.25,0.5
7,47,alpha_0.5,online_static_3step,dynamic_3step,0.05599968338071892,0.022928185627215904,0.08307058039799396,8267.0,24.276194852941178,9.84533268635895,0.9588073828679603,0.8984290290783638,5411.0,4692.0,525.6058614959475,482.88300394592807,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,0.5,0.5
7,47,alpha_0.75,online_static_3step,dynamic_3step,0.042533129424324786,0.016625023327443,0.08307058039799396,8267.0,24.276194852941178,9.84533268635895,0.9588073828679603,0.8984290290783638,5411.0,4692.0,525.6058614959475,482.88300394592807,b7d406c52d39becdb0bc74a2cb1a4d4b67e866429a333098a2a57fcb23220f96,47,0.75,0.5
7,48,alpha_0,online_static_3step,dynamic_3step,0.1429530679161994,0.07001379790336067,0.14315619584592892,8272.0,61.69616752271829,9.964736906660125,0.983791537786658,0.8996461211804166,5270.0,4456.0,499.392220079666,469.79789170459844,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,0.0,0.5
7,48,alpha_0.25,online_static_3step,dynamic_3step,0.11726589358358422,0.05699862205330151,0.14315619584592892,8272.0,61.69616752271829,9.964736906660125,0.983791537786658,0.8996461211804166,5270.0,4456.0,499.392220079666,469.79789170459844,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,0.25,0.5
7,48,alpha_0.5,online_static_3step,dynamic_3step,0.09157871925096893,0.04398344620325664,0.14315619584592892,8272.0,61.69616752271829,9.964736906660125,0.983791537786658,0.8996461211804166,5270.0,4456.0,499.392220079666,469.79789170459844,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,0.5,0.5
7,48,alpha_0.75,online_static_3step,dynamic_3step,0.06589154491835367,0.030968270353200336,0.14315619584592892,8272.0,61.69616752271829,9.964736906660125,0.983791537786658,0.8996461211804166,5270.0,4456.0,499.392220079666,469.79789170459844,b85f9723792ce7b18415898fc551ccbb69b3a52f396789496392181de2ff1369,48,0.75,0.5
7,49,alpha_0,online_static_3step,dynamic_3step,0.14252317188193764,0.05446814701234685,0.14271614910821662,8261.0,30.668936004668353,9.78512795750845,0.9673937172177156,0.8978040957315568,4641.0,4781.0,446.0564849160146,500.8814917332493,7137273470d24672442ea78e63e70285e5d060f4e2f115c218a2de9cd51b6c0a,49,0.0,0.5
7,49,alpha_0.25,online_static_3step,dynamic_3step,0.11523157989041927,0.044185560931278844,0.14271614910821662,8261.0,30.668936004668353,9.78512795750845,0.9673937172177156,0.8978040957315568,4641.0,4781.0,446.0564849160146,500.8814917332493,7137273470d24672442ea78e63e70285e5d060f4e2f115c218a2de9cd51b6c0a,49,0.25,0.5
7,49,alpha_0.5,online_static_3step,dynamic_3step,0.0879399878989009,0.03390297485022527,0.14271614910821662,8261.0,30.668936004668353,9.78512795750845,0.9673937172177156,0.8978040957315568,4641.0,4781.0,446.0564849160146,500.8814917332493,7137273470d24672442ea78e63e70285e5d060f4e2f115c218a2de9cd51b6c0a,49,0.5,0.5
7,49,alpha_0.75,online_static_3step,dynamic_3step,0.06064839590738248,0.023620388769154732,0.14271614910821662,8261.0,30.668936004668353,9.78512795750845,0.9673937172177156,0.8978040957315568,4641.0,4781.0,446.0564849160146,500.8814917332493,7137273470d24672442ea78e63e70285e5d060f4e2f115c218a2de9cd51b6c0a,49,0.75,0.5
7,50,alpha_0,online_static_3step,dynamic_3step,0.08245198813364087,0.022687872301611338,0.08253187905213454,8264.0,27.15844646846537,11.763451776649747,0.9631790426171418,0.9149909381203073,4893.0,4760.0,475.9566463008523,494.58175743278116,fdf9951f218e61b913618a579bd13a77417b8831a28d26d86ea79bbbe03fffcf,50,0.0,0.5
7,50,alpha_0.25,online_static_3step,dynamic_3step,0.06765858598069835,0.018770280019937705,0.08253187905213454,8264.0,27.15844646846537,11.763451776649747,0.9631790426171418,0.9149909381203073,4893.0,4760.0,475.9566463008523,494.58175743278116,fdf9951f218e61b913618a579bd13a77417b8831a28d26d86ea79bbbe03fffcf,50,0.25,0.5
7,50,alpha_0.5,online_static_3step,dynamic_3step,0.05286518382775578,0.014852687738257136,0.08253187905213454,8264.0,27.15844646846537,11.763451776649747,0.9631790426171418,0.9149909381203073,4893.0,4760.0,475.9566463008523,494.58175743278116,fdf9951f218e61b913618a579bd13a77417b8831a28d26d86ea79bbbe03fffcf,50,0.5,0.5
7,50,alpha_0.75,online_static_3step,dynamic_3step,0.038071781674813246,0.010935095456576126,0.08253187905213454,8264.0,27.15844646846537,11.763451776649747,0.9631790426171418,0.9149909381203073,4893.0,4760.0,475.9566463008523,494.58175743278116,fdf9951f218e61b913618a579bd13a77417b8831a28d26d86ea79bbbe03fffcf,50,0.75,0.5
