dataset,planning_seed,k,comparator,dRetention_Pdet,dDegradation_NRMST,dPdet,dRMST_rel
1,50,3,dynamic_evidence_3step_vs_random_uniform_n8_uncoordinated,-0.0826814409642358,-0.08517877872670708,0.18248691212536777,0.030598516431619673
1,50,0,online_static_3step_vs_random_uniform_n8_uncoordinated,,,0.21640819070733427,0.06480348814407492
1,50,1,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.18543220890008705,-0.03635573111592843,0.15365296779348758,0.028384271434850308
1,50,2,online_static_3step_vs_random_uniform_n8_uncoordinated,0.03367411166568657,-0.02684225101904376,0.16833333016753985,0.037728103515179016
1,50,3,online_static_3step_vs_random_uniform_n8_uncoordinated,-0.3001079015137028,-0.08010862832850547,0.06945417544377779,-0.015649992634348176
1,50,0,pizza_repartition_vs_random_uniform_n8_uncoordinated,,,0.2984940318332919,0.10423724661799837
1,50,1,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.050802298289429615,-0.02729262263285063,0.2568504276239685,0.07688113839185154
1,50,2,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.03670447824735579,-0.05641277249780336,0.20925777874378435,0.04759134051034289
1,50,3,pizza_repartition_vs_random_uniform_n8_uncoordinated,-0.11825468633226688,-0.09003527108228078,0.15690320960356177,0.013857123085799991
1,50,0,dynamic_evidence_3step_vs_online_static_3step,,,0.1068850093401971,0.051318659464169504
1,50,1,dynamic_evidence_3step_vs_online_static_3step,0.1750968826243895,0.0147927432428448,0.1386505928743586,0.06611140270701428
1,50,2,dynamic_evidence_3step_vs_online_static_3step,0.03655193808983792,-0.008042550144155402,0.09541721392814412,0.043276109320013995
1,50,3,dynamic_evidence_3step_vs_online_static_3step,0.21742646054946702,-0.005070150398201606,0.11303273668158999,0.04624850906596785
1,50,0,dynamic_evidence_3step_vs_pizza_repartition,,,0.024799168214239498,0.011884900990246063
1,50,1,dynamic_evidence_3step_vs_pizza_repartition,0.04046697201373206,0.005729634759767,0.035453133043877705,0.017614535750013052
1,50,2,dynamic_evidence_3step_vs_pizza_repartition,0.10693052800288028,0.0215279713346042,0.05449276535189962,0.03341287232485012
1,50,3,dynamic_evidence_3step_vs_pizza_repartition,0.03557324536803108,0.004856492355573699,0.025583702521806,0.016741393345819682
1,50,0,online_static_3step_vs_pizza_repartition,,,-0.0820858411259576,-0.03943375847392344
1,50,1,online_static_3step_vs_pizza_repartition,-0.13462991061065743,-0.0090631084830778,-0.1031974598304809,-0.04849686695700123
1,50,2,online_static_3step_vs_pizza_repartition,0.07037858991304236,0.0295705214787596,-0.0409244485762445,-0.009863236995163874
