dataset,planning_seed,k,same_failure_identity,same_active_uav_ids,same_survivor_initial_positions,same_victim_seed,same_sensor_seed,same_environment_seed_semantics,same_domain,same_fov,same_pd,same_dt,same_speed,same_budget,same_termination_rule,same_sensor_pipeline,same_exposure_pipeline,random_target_exclusion_off,random_prior_access_false,random_belief_access_false,random_observation_access_false,same_failure_seed,no_hold_events,budget_expected,budget_actual,budget_error,max_step_distance,steps,termination_reason,total_exposure_events,step_bound_ok
1,50,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464697,8000,budget_exhausted,91245,True
1,50,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464697,8000,budget_exhausted,60923,True
1,51,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465614,8000,budget_exhausted,152272,True
1,51,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000464695,8000,budget_exhausted,121815,True
1,51,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000464695,8000,budget_exhausted,91313,True
1,51,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000464695,8000,budget_exhausted,60887,True
5,42,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.0000000004656115,8000,budget_exhausted,152036,True
5,42,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.0000000004656115,8000,budget_exhausted,121629,True
5,42,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.0000000004656115,8000,budget_exhausted,91241,True
5,42,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.0000000004656115,8000,budget_exhausted,60750,True
5,43,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.0000000004656036,8000,budget_exhausted,152157,True
5,43,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000463913,8000,budget_exhausted,121657,True
5,43,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000463168,8000,budget_exhausted,91293,True
5,43,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000463168,8000,budget_exhausted,60839,True
5,44,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465147,8000,budget_exhausted,152383,True
5,44,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465147,8000,budget_exhausted,121961,True
5,44,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465147,8000,budget_exhausted,91440,True
5,44,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465147,8000,budget_exhausted,60983,True
5,45,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000465123,8000,budget_exhausted,152246,True
5,45,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000465123,8000,budget_exhausted,121842,True
5,45,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,120000.0,120000.0,0.0,5.000000000465123,8000,budget_exhausted,91369,True
5,45,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,80000.0,80000.0,0.0,5.000000000465123,8000,budget_exhausted,60966,True
5,46,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,200000.0,200000.0,0.0,5.000000000466276,8000,budget_exhausted,152182,True
5,46,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,160000.0,160000.0,0.0,5.000000000466276,8000,budget_exhausted,121779,True
