dataset,planning_seed,condition_id,control,method,dPdet,dRMST_rel,dL,H_common,exposure_multiplicity_control,exposure_multiplicity_method,revisit_fraction_control,revisit_fraction_method,replans_control,replans_method,planner_wall_time_control,planner_wall_time_method,initial_positions_hash,planning_seed_common,curve,w
1,44,w_075,online_static_3step,dynamic_3step,0.310123596718192,0.17463402014226176,0.3104344643199666,9270.0,190.1076923076923,12.299150881776617,0.9947398235817755,0.9186935740839086,5282.0,3985.0,509.18349515507,434.2638429806102,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,w,0.75
1,44,w_1,online_static_3step,dynamic_3step,0.35016395409483675,0.2075309514148531,0.35060098513044663,8793.0,1247.1560283687943,12.029543356295717,0.9991981757075673,0.9168713250053132,3900.0,3955.0,367.83732348051853,428.31063774134964,2dab5376247a9528a31142c1fd9440d80012f57468cb93f8a65ac77b40067382,44,w,1.0
1,45,nominal,online_static_3step,dynamic_3step,0.21108826066311817,0.09004592581381948,0.2112790711296382,8670.0,48.3993851313583,12.180301941049605,0.9793385804946498,0.9179002290058313,3929.0,3893.0,373.51732364855707,415.7527292885352,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,nominal,0.5
1,45,pd_060,online_static_3step,dynamic_3step,0.18801673423288523,0.08099336777559672,0.18853445076148959,8670.0,48.3993851313583,14.082440846824408,0.9793385804946498,0.928989582780637,3929.0,4030.0,377.96810553292744,428.96593463397585,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,p_d,0.5
1,45,pd_095,online_static_3step,dynamic_3step,0.1779846146212585,0.0662401550355111,0.1779969265642509,8670.0,48.3993851313583,13.050612433556736,0.9793385804946498,0.9233752434921197,3929.0,4041.0,380.93699106178246,435.0848021847196,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,p_d,0.5
1,45,tau_128000,online_static_3step,dynamic_3step,0.21803951671232688,0.09996607266563087,0.21827326060701155,8670.0,48.3993851313583,11.597880341880343,0.9793385804946498,0.9137773480565267,3929.0,4040.0,385.3339002528228,445.3378877432551,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,tau,0.5
1,45,tau_2000,online_static_3step,dynamic_3step,0.18875517213933138,0.09152483443862137,0.1888965763623516,8670.0,48.3993851313583,12.849325450962558,0.9793385804946498,0.9221749029693159,3929.0,3998.0,384.6633679342922,437.70087514957413,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,tau,0.5
1,45,tau_32000,online_static_3step,dynamic_3step,0.2160165468921584,0.0946200837702584,0.21625726623318095,8670.0,48.3993851313583,11.747817652764306,0.9793385804946498,0.9148778071334214,3929.0,4049.0,385.4522866657935,438.1819702119101,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,tau,0.5
1,45,w_0,online_static_3step,dynamic_3step,4.2878950946623196e-05,-1.5654739951206235e-06,4.946008504913557e-05,8473.0,14.228276503934342,14.226442226357639,0.9297174187103066,0.9297083568689241,4215.0,4226.0,367.4663693595212,407.80216785427183,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,w,0.0
1,45,w_025,online_static_3step,dynamic_3step,0.05990286780917764,0.02187695015378111,0.05993651859059118,8538.0,18.20436083796494,12.723426678711231,0.9450681070925318,0.9214048207883184,3436.0,3980.0,338.22882094979286,437.95343698281795,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,w,0.25
1,45,w_075,online_static_3step,dynamic_3step,0.30821685620387523,0.19510540437301138,0.30849102946559154,9295.0,427.2735632183908,13.836575242125823,0.9976595790470452,0.9277277807187813,3973.0,4057.0,377.0727281747386,432.83393704285845,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,w,0.75
1,45,w_1,online_static_3step,dynamic_3step,0.3409798378466574,0.21654290241920712,0.34134177284480677,8959.0,1378.2769230769231,12.483870967741936,0.9992744564004108,0.9198966408268734,3985.0,4014.0,380.04079900472425,438.26140714413486,ca931493022139a148c52ef6d877841359de94e3965a4155825ef527a006aee9,45,w,1.0
1,46,nominal,online_static_3step,dynamic_3step,0.06805365127499063,0.023251678340813667,0.0680319139834189,8626.0,22.55229357798165,14.64469938756146,0.9556586119925149,0.9317159080199793,4148.0,4081.0,404.84950968646444,436.1431920528412,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,nominal,0.5
1,46,pd_060,online_static_3step,dynamic_3step,0.10648925046414848,0.05325180151527783,0.10746846535533572,8626.0,22.55229357798165,11.830829431905528,0.9556586119925149,0.9154750724997195,4148.0,3977.0,406.63523559854366,433.1888857134618,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,p_d,0.5
1,46,pd_095,online_static_3step,dynamic_3step,0.10540786226905463,0.04159099768949286,0.1054084359994581,8626.0,22.55229357798165,12.593722172751558,0.9556586119925149,0.9205953580456417,4148.0,4022.0,410.46189405722544,438.0403326698579,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,p_d,0.5
1,46,tau_128000,online_static_3step,dynamic_3step,0.07146278767029646,0.03207366281258317,0.0713829069922502,8626.0,22.55229357798165,14.680554352533564,0.9556586119925149,0.9318826812675899,4148.0,4015.0,410.5216338338796,426.90702280704863,c3a107a1fc646545ced1bed510f83f2557068c38968fadd0196b04e59ec82149,46,tau,0.5
